en,Team Name,Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 1 In-Game-Name (this needs to be the same for every match day),Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 2 In-Game-Name (this needs to be the same for every match day),Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Rostered Player 3 In-Game-Name (this needs to be the same for every match day),Have you and your teammates played in Void Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,,
27/03/2025 12:59:16,Chocobo Escape,chosensky,chosensky,https://overstat.gg/player/1041472/overview,ChosenSky,author_kj,https://overstat.gg/player/1120434/overview,AUTHOR,the_sleeping,https://overstat.gg/player/753149/overview,Sleeping,"Yes, all 3 have",4,Diamond,All PC,,
27/03/2025 13:49:18,BaM,iRonnoc,iRonnoc,https://overstat.gg/player/1071412.iiRonnoc/overview,iiRonnoc,bam_clutch,https://overstat.gg/player/1071411.BaM_Clutch/overview,BaM_Clutch,bam_reavor,https://overstat.gg/player/1071413.BaM_Reavor/overview,BaM_Reavor,"Yes, all 3 have",5,Platinum,"Some PC, some console",,
27/03/2025 14:15:55,WannaBees,killua32,killua32,https://overstat.gg/player/2298447.WB_Killua/overview,WB_Killua,golfyash2,https://overstat.gg/player/141293/overview,Golfy,lilderpyy,https://overstat.gg/player/52863/overview,LilDerpyy,None of us have played in the void leagues before,5,Diamond,All PC,,
27/03/2025 14:46:37,HIZH,Mr_Hands_20,Mr_Hands_20,https://overstat.gg/player/753178.mr_hands_20/overview,Mr_Hands_20,Hawkeye2552,https://overstat.gg/player/288675.Hawkeye2552/overview,Hawkeye2552,Zimm,https://overstat.gg/player/897479.Zimm/overview,Zimm,"Yes, all 3 have",5,Diamond,All PC,,
27/03/2025 15:58:14,100 Leaves,ntdrose12,ntdrose12,https://overstat.gg/player/753378.F5%20I%20ntROZE/overview,ntROZE,seeby_,https://overstat.gg/player/307263.seeby/overview,seeby,.swilleyville,https://overstat.gg/player/307264.Swilleyville/overview,Swilleyville,"2 of us have, 1 has not",4,Diamond,All PC,,
27/03/2025 16:23:55,Lawn Mowers,galahadfps,galahadfps,https://overstat.gg/player/801/overview,Galahad,dizzyjavi,https://overstat.gg/player/35259/overview,DizzyJavi,xtducky,https://overstat.gg/player/146712/overview,Ducky 예보,"2 of us have, 1 has not",5,Diamond,All PC,,
27/03/2025 17:24:08,No Peel Cincy,hakobo,hakobo,https://overstat.gg/player/1135360.HaKobo/overview,HaKobo,chicagobias,https://overstat.gg/player/1680083.GGMantisToboggan/overview,GGMantisToboggan,johnboy8366,https://overstat.gg/player/1167352.HeresJahnny1/overview,HeresJahnny1,"Yes, all 3 have",5,Platinum,All PC,,
27/03/2025 17:50:20,No Peel Chica,Baughty,Baughty,https://overstat.gg/player/1135359.baughty/overview,Baughty,Coop,https://overstat.gg/player/2299939.coopfromdastoop/overview,CoopFromDaStoop,Cottonballer,https://overstat.gg/player/1135361.Epic%20Gamer/overview,Epic Gamer,"Yes, all 3 have",5,Platinum,All PC,,
27/03/2025 18:59:33,Ragdoll,gruesomeb,gruesomeb,https://overstat.gg/player/53632.gruesome_b1/overview,gruesomeb,AngrySandy,https://overstat.gg/player/2299783/overview,AngrySandy,RedT,https://overstat.gg/player/2799151/overview,Redterror,"2 of us have, 1 has not",5,Platinum,All PC,,
27/03/2025 19:06:26,Los Pollos Hermanos,"ckpallday21, 77_1, cbits",cbits,https://overstat.gg/player/1433848/overview,imCBITS,ckpallday21,https://overstat.gg/player/1433566/overview,Zorra_Assassin,77_1,https://overstat.gg/player/999574.N/overview,77,"Yes, all 3 have",4,Diamond,"Some PC, some console",,
27/03/2025 19:10:14,Kissing Your Dad's Toes,ColedColedWorld,ColedColedWorld,https://overstat.gg/player/1122065.ColedColedWorld/overview,ColedColedWorld,Nope Rope,https://overstat.gg/player/1120555.Nopes%20Ropes/overview,Nopes Ropes,ejustice74,https://overstat.gg/player/1120556.ejustice74/overview,ejustice74,"Yes, all 3 have",5,Diamond,All PC,,
27/03/2025 23:18:49,Badger Grabbers,jhelly,jhelly,https://overstat.gg/player/3728416,Jack,.so_tall,None - New player,TheIdiotEngineer,sammies.,None - New Player,Sammie,"1 of us has, 2 have not",1,Silver,All PC,,
28/03/2025 11:04:12,Mile High,Colo,Colo,https://overstat.gg/player/2584.ColoHockey_/overview,Colo,WeaponsArtist,https://overstat.gg/player/1314055.WeaponsArtist/overview,WeaponsArtist,HighKingStig,https://overstat.gg/player/3371769.HighKingStig/overview,HighKingStig,"1 of us has, 2 have not",3,Diamond,"Some PC, some console",,
28/03/2025 13:55:59,All Brain No Aim,Figgy14,Figgy14,https://overstat.gg/player/753392.Figgy14/overview,Figgy14,Maschidezin,https://overstat.gg/player/2345708.MaschidezinTV/overview,MaschidezinTV,zG_Stifle,https://overstat.gg/player/1307494.zG_Stifle/overview,ZG_Stifle,"Yes, all 3 have",5,Diamond,All PC,,
28/03/2025 16:09:33,We Use Walkers,RetroMrLiquid,RetroMrLiquid,https://overstat.gg/player/115827.RetroMrLiquid/overview,RetroMrLiquid,Red_Husky,https://overstat.gg/player/57451.h%20u%20s%20k%20y/overview,h u s k y,lchiang11,https://overstat.gg/player/749157.CheezySlice/overview,CheezySlice,"Yes, all 3 have",4,Platinum,All PC,,
28/03/2025 21:03:35,O.M.P.A.,BobbyBooshayy,BobbyBooshayy,https://overstat.gg/player/455959.BobbyBooshayy/overview,BobbyBooshayy,Patback,https://overstat.gg/player/455979/overview,pat,MannikTV,https://overstat.gg/player/592270.MannikTV/overview,MannikTV,"Yes, all 3 have",3,Platinum,All PC,,
28/03/2025 23:23:50,Scream Aim Fire,katisuu,katisuu,https://overstat.gg/player/1439060/overview,MNKP0P,aeroexists,https://overstat.gg/player/3221411/overview,AeroExists,spearcooper,https://overstat.gg/player/3762474/overview,Coop,None of us have played in the void leagues before,3,Diamond,All PC,,
29/03/2025 05:46:22,Eye of Agamotto,"saki_201, dayarik1",dayarik1,https://overstat.gg/player/1183460.Dayarik/overview,DaS,KitKatt52,https://overstat.gg/player/291514.TacoEnjoyer/overview,TacoEnjoyer,saki_201,https://overstat.gg/player/392271.Saki/overview,Saki :D,"Yes, all 3 have",4,Platinum,"Some PC, some console",,
