Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
304,yumisyzygy,48.35,S12,,,73.26,10,5.0,yumisyzygy
305,Kitkat >:),47.88,S12+S8,149.00,,35.30,10,5.0,Kitkat >:)
306,J DAWG,47.81,S12+S8,153.00,,34.19,10,5.0,J DAWG
307,GGMantisToboggan,47.54,S12+S8,239.00,,15.71,5,3.0,GGMantisToboggan
308,K1ng13east,47.19,S12+S8,146.00,,38.40,5,4.0,K1ng13east
309,sX Adam1003,47.18,S12+S8,120.00,,44.90,5,4.0,"RG Adam10, sX Adam1003"
310,Epickiller17,47.17,S11,,139.75,,35,9.0,Epickiller17
311,Ok Grimm,47.11,S12,,,71.38,10,6.0,Ok Grimm
312,Double-Take,47.02,S12+S8,170.00,,28.74,10,5.0,Double-Take
313,Hawkeye2552,46.95,S8,313.00,,,0,,Hawkeye2552
314,kyuuWar | TTV,46.83,S12,,,74.33,5,4.0,kyuuWar | TTV
315,CantGetAway,46.68,S11+S12,,127.40,14.56,15,7.0,CantGetAway
316,G-Fuel Sponsorship,46.59,S12,,,70.60,10,5.0,G-Fuel Sponsorship
317,TsF MonTy,46.10,S12+S8,196.00,,24.18,5,3.0,TsF MonTy
318,Stinkerson,45.75,S12,,,72.62,5,4.0,Stinkerson
319,Ghyst,45.31,S12,,,65.66,15,8.0,Ghyst
320,KaiAintHereFPS,45.00,S12,,,68.19,10,5.0,KaiAintHereFPS
321,A_MF_Queen,44.90,S12+S8,132.00,,38.27,5,4.0,A_MF_Queen
322,SirNaughty1,44.74,S12,,,71.02,5,4.0,SirNaughty1
323,Pandaz809,44.70,S8,298.00,,,0,,Pandaz809
324,Drizzy,44.53,S11,,131.95,,35,9.0,Drizzy
325,@benjahhim,44.30,S12,,,67.12,10,5.0,@benjahhim
326,Phoenix.MLNT,44.25,S8,295.00,,,0,,Phoenix.MLNT
327,Graffix,44.21,S12+S8,103.00,,44.42,5,4.0,Graffix
328,ZorraAssassin,44.17,S11+S12,,1.30,69.57,5,4.5,ZorraAssassin
329,TRENZHART,44.11,S12,,,70.02,5,3.0,TRENZHART
330,algunAngel,44.06,S12,,,66.76,10,5.0,algunAngel
331,derpasurarex,43.93,S12,,,69.73,5,3.0,derpasurarex
332,Krit,43.90,S12+S8,111.00,,41.93,5,3.0,Krit
333,RBD Hound,43.72,S12+S8,153.00,,31.14,5,3.0,RBD Hound
334,SoleSky,43.57,S12+S8,135.00,,32.27,10,6.0,SoleSky
335,Meme,43.48,S12,,,65.89,10,6.0,Meme
336,DEKTA_TTV,43.47,S11+S12,,1.95,62.18,15,7.0,DEKTA_TTV
337,avoid,43.44,S11+S8,111.00,84.50,,15,8.0,"Xzavier, avoid"
338,Not Slim Thor,43.40,S12+S8,97.00,,44.64,5,4.0,"Not Slim Thor, Slim_Thor on twitch"
339,Lame A Train,43.35,S8,289.00,,,0,,Lame A Train
340,xeno!,43.13,S12,,,65.34,10,5.0,xeno!
341,MyrtleSquirtle,42.85,S12+S8,145.00,,31.77,5,4.0,MyrtleSquirtle
